Nº,TIPO DE EQUIPO,MARCA,MODELO,Nº SERIE,ORIGEN,ESTADO,ESPECIFICACIONES ,ACCESORIOS,A CARGO ,ZONA,,
AEC001,Impresora,HP,DesignJet T520,CN7CLFM06H,China,Bueno,Plotter,Cable usb + Cable corriente,BIMI - Analistas de Terreno,Arroyito,,
AEC002,Impresora,Canon,ImageClass MF 416 dw,USM04374,China,Bueno,Laser,Cable usb + Cable corriente,BIMI - Operaciones ,Arroyito,,
AEC003,Impresora,HP,LaserJet P1102w,VNF3C10087,Vietnam,Bueno,Laser,Cable usb + Cable corriente,BIMI - Contrainteligencia,Arroyito,,
AEC004,Impresora,Canon,ImageClass MF 416 dw,USM04360,China,Bueno,Laser,Cable usb + Cable corriente,BIMI - S1,Arroyito,,
AEC005,Impresora,HP,Deskjet Ink Advantage 2675,BR93IFB2T2,Brasil,Bueno,Tinta,Cable usb + Cable corriente,BIMI - CPDIC,Arroyito,,
AEC006,Impresora,HP,Deskjet Ink Advantage 2135,CN7C147675,China,Bueno,Tinta,Cable usb + Cable corriente,BIMI - CPDIC,Arroyito,,
AEC007,Impresora,HP,Deskjet Ink Advantage 2135,CN81F470CH,China,Sin Tinta,Tinta,Cable usb + Cable corriente,BIMI - CIA Señales,Arroyito,,
AEC008,Impresora,HP,LaserJet P1102w,BRBSGDLF5G,Brasil,Bueno,Laser,Cable usb + Cable corriente,BIMI - 1ra Cia Busqueda,Santa Rosa,,
AEC009,Impresora,HP,DesKjet 2135,CN7AO47229,Japón,Bueno,Tinta,Cable usb + Cable corriente,BIMI - 2da Cia Busqueda,Concepción,,
AEC010,Impresora,Canon,imageClass MF 525 dw,2BH08277,Japón,Bueno,Laser,Cable usb + Cable corriente,BIMI - Ayudantia,Arroyito,,
AEC011,Impresora,Canon,imageClass MF 525 dw,2BH08353,Japón,Bueno,Laser,Cable usb + Cable corriente,BIMI - Giraduria,Asuncion,,
AEC012,Impresora,EPSON,L3110,X5DN188505,Filipinas,Bueno,Tinta,Cable usb + Cable corriente,BIMI - 2da Cia Busqueda,Concepción,,
AEC013,UPS,APOLLO,1300F,15C03100574,China,Bueno,Capacidad: 3000 VA,Cable corriente,BIMI - CPDIC,Arroyito,,
AEC014,UPS,APOLLO,1300F,15C03100573,China,Bueno,Capacidad: 3000 VA,Cable corriente,BIMI - CPDIC,Arroyito,,
AEC015,UPS,APS,850VA,E1707043964,China,Bueno,Capacidad: 850 VA,Cable corriente,BIMI - Ayudantia,Arroyito,,
AEC016,UPS,APS,850VA,E1707043966,China,Bueno,Capacidad: 850 VA,Cable corriente,BIMI - Cartografía,Arroyito,,
AEC017,UPS,APC,SRV10KI,9S1821A13221,China,Nuevo,10KVA,Cable de Fuerza,BIMI - Servidor CPDIC,Arroyito,,
AEC018,UPS,APS ,VISTA,E1912008741,China,Nuevo,1500 VA,Cable de Fuerza,BIMI - 2da Compañía,Concepcion,,
AEC019,UPS,APS ,VISTA,E1912008742,China,Nuevo,1500 VA,Cable de Fuerza,BIMI - 3ra Compañía,M.R.A,,
AEC020,UPS,APS ,VISTA,E191200892,China,Nuevo,1500 VA,Cable de Fuerza,BIMI - 1ra Compañía,Santa Rosa,,
AEC021,UPS,APS ,VISTA,E191200842,China,Nuevo,1500 VA,Cable de Fuerza,BIMI - Giraduria,Asuncion,,
AEC022,UPS,APS ,VISTA,E191200841,China,Nuevo,1500 VA,Cable de Fuerza,BIMI - CPDIC-Prestamo,Arroyito,,
AEC012,Impresora,EPSON,L3250,XAGZ638654,China,Nuevo,Tinta,Cable usb + Cable corriente,BIMI - Contrainteligencia,Arroyito,,
